Mode,Weather,Platform,Case,Scenario,Objective,UnservedCount,ServedCustomers,TotalCustomers
Static,Cos,Single,C101_25.txt,"06:00/08:00/14:00最低温(-15.0°C),η=0.47",1817.765,0,25,25
Static,Cos,Single,C101_25.txt,"06:00/08:00/14:00平均温(-8.3°C),η=0.59",1805.6775,0,25,25
Static,Cos,Single,C101_25.txt,"06:00/08:00/14:00最高温(0.0°C),η=0.74",1791.4324,0,25,25
Static,Cos,Single,C201_25.txt,"06:00/08:00/14:00最低温(-15.0°C),η=0.47",1914.8628,0,25,25
Static,Cos,Single,C201_25.txt,"06:00/08:00/14:00平均温(-8.3°C),η=0.59",1897.9407,0,25,25
Static,Cos,Single,C201_25.txt,"06:00/08:00/14:00最高温(0.0°C),η=0.74",1877.998,0,25,25
Static,Cos,Single,R102_25.txt,"06:00/08:00/14:00最低温(-15.0°C),η=0.47",4390.7968,0,25,25
Static,Cos,Single,R102_25.txt,"06:00/08:00/14:00平均温(-8.3°C),η=0.59",4339.7676,0,25,25
Static,Cos,Single,R102_25.txt,"06:00/08:00/14:00最高温(0.0°C),η=0.74",4295.8173,0,25,25
Static,Cos,Single,R202_25.txt,"06:00/08:00/14:00最低温(-15.0°C),η=0.47",3192.26,0,25,25
Static,Cos,Single,R202_25.txt,"06:00/08:00/14:00平均温(-8.3°C),η=0.59",2595.7079,0,25,25
Static,Cos,Single,R202_25.txt,"06:00/08:00/14:00最高温(0.0°C),η=0.74",2047.3125,0,25,25
Static,Cos,Single,C102_50.txt,"06:00/08:00/14:00最低温(-15.0°C),η=0.47",3083.3742,0,50,50
Static,Cos,Single,C102_50.txt,"06:00/08:00/14:00平均温(-8.3°C),η=0.59",3060.5513,0,50,50
Static,Cos,Single,C102_50.txt,"06:00/08:00/14:00最高温(0.0°C),η=0.74",3033.6545,0,50,50
Static,Cos,Single,C202_50.txt,"06:00/08:00/14:00最低温(-15.0°C),η=0.47",3229.2097,0,50,50
Static,Cos,Single,C202_50.txt,"06:00/08:00/14:00平均温(-8.3°C),η=0.59",3202.6115,0,50,50
