config,dataset,rep,fitness,time,destroy_times_1,destroy_times_2,destroy_times_3,destroy_times_4,destroy_times_5,destroy_times_6,destroy_times_7,destroy_times_8,destroy_times_9,destroy_times_10,iterations,wall
v1_all_off,R202_100.txt,1,6051.96240175698,8.08729,4,38,0,33,41,40,31,41,423,,651,8.090506
v1_all_off,R202_100.txt,2,6097.74286604752,4.144868,0,7,2,8,33,1,8,71,261,,391,4.145135
v1_all_off,R202_100.txt,3,6119.62319083203,14.807626,72,10,56,86,33,1,0,0,400,,658,14.807852
v1_all_off,C201_100.txt,1,7019.44473255757,2.056451,10,0,28,3,16,4,11,32,179,,283,2.056669
v1_all_off,C201_100.txt,2,6986.22868320911,4.276954,31,2,28,5,0,0,0,31,248,,345,4.278203
v1_all_off,C201_100.txt,3,6983.72929852342,2.986323,2,6,25,12,0,12,5,17,140,,219,2.98639
v1_all_off,R201_50.txt,1,4134.69951744476,3.754112,1,55,31,51,13,2,29,20,257,,459,3.754183
v1_all_off,R201_50.txt,2,4095.11351176385,4.880239,0,19,83,11,39,17,50,11,349,,579,4.88033
v1_all_off,R201_50.txt,3,4108.58176069288,2.68267,36,28,5,10,24,2,12,0,191,,308,2.682735
plus_A1,R202_100.txt,1,6874.04820245148,1.203263,0,1,0,1,18,41,13,6,98,,178,1.203329
plus_A1,R202_100.txt,2,6153.04997936794,8.757028,23,27,53,9,18,36,22,14,359,,561,8.75762
plus_A1,R202_100.txt,3,6135.03637813662,5.128642,23,0,33,14,15,4,15,29,143,,276,5.128716
plus_A1,C201_100.txt,1,6484.21175434358,1.809671,1,0,13,2,1,3,0,33,124,,177,1.809743
plus_A1,C201_100.txt,2,6972.0346645043,6.985383,14,62,14,16,104,47,6,61,377,,701,6.985477
plus_A1,C201_100.txt,3,6980.23675718773,2.266932,1,8,30,3,0,8,67,30,212,,359,2.267006
plus_A1,R201_50.txt,1,4068.02045676321,4.10941,28,77,23,46,3,9,51,29,255,,521,4.109474
plus_A1,R201_50.txt,2,4009.80771750728,6.126194,25,29,5,19,70,43,46,70,455,,762,6.126268
plus_A1,R201_50.txt,3,4074.61584330067,2.259951,5,3,0,4,59,3,0,0,142,,216,2.260019
plus_A1_A2,R202_100.txt,1,6079.96753912395,4.895605,1,20,51,3,3,1,3,3,143,,228,4.895675
plus_A1_A2,R202_100.txt,2,6049.86502206513,6.521128,31,62,30,12,43,0,1,18,408,,605,6.521225
plus_A1_A2,R202_100.txt,3,6043.99457284434,8.307401,2,45,3,42,26,27,43,2,350,,540,8.307474
plus_A1_A2,C201_100.txt,1,6398.77430869018,2.307143,7,3,1,12,41,38,36,11,239,,388,2.30721
plus_A1_A2,C201_100.txt,2,6433.52096641056,18.413562,78,138,114,168,140,171,128,142,2186,,3265,18.413631
plus_A1_A2,C201_100.txt,3,6451.75227909528,3.35597,1,8,15,24,10,0,4,7,221,,290,3.35606
plus_A1_A2,R201_50.txt,1,4068.82313328226,4.117726,7,41,19,10,41,31,30,6,302,,487,4.117821
plus_A1_A2,R201_50.txt,2,4085.84096525268,4.670344,30,2,0,82,9,37,33,6,414,,613,4.670408
plus_A1_A2,R201_50.txt,3,4073.29644720262,2.085067,5,6,8,3,56,7,3,3,161,,252,2.085136
plus_A1_A2_A3,R202_100.txt,1,6086.33925656577,13.104242,17,52,1,66,145,102,34,33,816,,1266,13.10434
plus_A1_A2_A3,R202_100.txt,2,6147.52164553375,2.648959,17,32,9,9,2,7,11,3,220,,310,2.649056
plus_A1_A2_A3,R202_100.txt,3,6022.01550319665,5.620108,52,0,6,23,18,20,8,0,181,,308,5.620181
plus_A1_A2_A3,C201_100.txt,1,6447.73031470534,2.348356,0,38,34,0,3,36,5,1,222,,339,2.348424
plus_A1_A2_A3,C201_100.txt,2,6436.25965760856,8.579976,20,2,0,1,82,31,40,49,381,,606,8.580046
plus_A1_A2_A3,C201_100.txt,3,6439.09138543704,6.378286,3,16,3,23,2,39,1,47,340,,474,6.378357
plus_A1_A2_A3,R201_50.txt,1,4109.25023387141,3.956647,25,10,10,48,7,0,48,0,315,,463,3.956715
plus_A1_A2_A3,R201_50.txt,2,4100.64711949041,2.963588,2,7,13,0,41,1,5,29,249,,347,2.963657
plus_A1_A2_A3,R201_50.txt,3,4161.67816060535,3.996387,12,7,19,6,3,65,97,4,357,,570,3.996453
phaseA_B1,R202_100.txt,1,6075.32928313393,6.053857,5,6,16,15,3,22,1,14,428,508,1018,6.053951
phaseA_B1,R202_100.txt,2,6030.2142686716,15.874808,15,8,6,12,9,19,24,52,575,494,1214,15.874902
phaseA_B1,R202_100.txt,3,6137.43450441481,3.58144,14,4,11,5,3,1,20,3,171,145,377,3.581537
phaseA_B1,C201_100.txt,1,7067.47765638084,0.920166,0,4,2,0,2,2,7,9,65,55,146,0.920255
phaseA_B1,C201_100.txt,2,6958.25077687274,3.45313,8,0,10,0,1,4,0,2,165,139,329,3.453221
phaseA_B1,C201_100.txt,3,6477.78242583023,2.943613,7,1,28,3,3,4,12,15,202,184,459,2.94371
phaseA_B1,R201_50.txt,1,4153.71811050231,2.12719,6,3,4,10,7,9,3,12,137,169,360,2.127283
phaseA_B1,R201_50.txt,2,4054.52553647782,5.85416,18,35,17,18,7,15,12,9,395,454,980,5.854259
phaseA_B1,R201_50.txt,3,4187.58687956612,3.550132,12,2,10,3,0,0,10,11,267,259,574,3.550216
v2_all_on,R202_100.txt,1,6018.89291414135,46.479306,7,41,61,19,126,54,0,32,220,150,710,46.479759
v2_all_on,R202_100.txt,2,5991.13342700947,14.247715,1,0,54,327,1,2,17,3,262,172,839,14.247813
v2_all_on,R202_100.txt,3,6215.17713542011,5.146715,2,43,15,0,1,114,23,11,149,77,435,5.146813
v2_all_on,C201_100.txt,1,7003.55472384172,5.045648,0,14,0,7,13,0,0,173,26,172,405,5.045743
v2_all_on,C201_100.txt,2,6461.86038772921,22.796083,0,1,3,211,61,2,0,43,136,176,633,22.796525
v2_all_on,C201_100.txt,3,7010.91288026394,3.986895,59,6,18,56,0,2,23,1,103,81,349,3.986993
v2_all_on,R201_50.txt,1,4116.95760612558,5.830969,3,1,221,9,8,73,14,11,162,160,662,5.831065
v2_all_on,R201_50.txt,2,4050.73184377498,3.817627,91,0,1,39,14,7,97,1,170,91,511,3.817729
v2_all_on,R201_50.txt,3,4122.47556689865,6.762604,61,7,56,0,91,3,78,0,300,15,611,6.762702
