group,scenario,operator_type,operator_index,mean_calls
static_baseline,real_single,destroy,1,40.1333333333333
static_baseline,real_single,destroy,2,53.1666666666667
static_baseline,real_single,destroy,3,53.55
static_baseline,real_single,destroy,4,56.1833333333333
static_baseline,real_single,destroy,5,60.6
static_baseline,real_single,destroy,6,45.6666666666667
static_baseline,real_single,destroy,7,39.5333333333333
static_baseline,real_single,destroy,8,46.6833333333333
static_baseline,real_single,destroy,9,0
static_baseline,real_single,repair,1,79.0333333333333
static_baseline,real_single,repair,2,89.3666666666667
static_baseline,real_single,repair,3,85.8666666666667
static_baseline,real_single,repair,4,0
static_baseline,real_single,repair,5,82.6833333333333
static_baseline,real_single,repair,6,58.5666666666667
static_baseline,real_single,repair,7,0
static_baseline,real_single,local_search,1,16.3
static_baseline,real_multi,destroy,1,47.9333333333333
static_baseline,real_multi,destroy,2,39.0166666666667
static_baseline,real_multi,destroy,3,41.8666666666667
static_baseline,real_multi,destroy,4,49.6833333333333
static_baseline,real_multi,destroy,5,52.6333333333333
static_baseline,real_multi,destroy,6,52.2833333333333
static_baseline,real_multi,destroy,7,38.1833333333333
static_baseline,real_multi,destroy,8,39.6666666666667
static_baseline,real_multi,destroy,9,0
static_baseline,real_multi,repair,1,90.65
static_baseline,real_multi,repair,2,74.1166666666667
static_baseline,real_multi,repair,3,78
static_baseline,real_multi,repair,4,0
static_baseline,real_multi,repair,5,62.4166666666667
static_baseline,real_multi,repair,6,56.0833333333333
static_baseline,real_multi,repair,7,0
static_baseline,real_multi,local_search,1,15.45
dynamic_only,real_single,destroy,1,41.7166666666667
dynamic_only,real_single,destroy,2,59.05
dynamic_only,real_single,destroy,3,52.65
dynamic_only,real_single,destroy,4,55.1333333333333
dynamic_only,real_single,destroy,5,60.7666666666667
dynamic_only,real_single,destroy,6,67.9833333333333
dynamic_only,real_single,destroy,7,60.4833333333333
dynamic_only,real_single,destroy,8,58.05
dynamic_only,real_single,destroy,9,0
dynamic_only,real_single,repair,1,88.3166666666667
dynamic_only,real_single,repair,2,90.5666666666667
dynamic_only,real_single,repair,3,100.45
dynamic_only,real_single,repair,4,0
dynamic_only,real_single,repair,5,83.9333333333333
dynamic_only,real_single,repair,6,92.5666666666667
dynamic_only,real_single,repair,7,0
dynamic_only,real_single,local_search,1,17.0833333333333
dynamic_only,real_multi,destroy,1,50.1166666666667
dynamic_only,real_multi,destroy,2,48.1166666666667
dynamic_only,real_multi,destroy,3,51.7
dynamic_only,real_multi,destroy,4,56.9166666666667
dynamic_only,real_multi,destroy,5,51.6166666666667
dynamic_only,real_multi,destroy,6,55.1
dynamic_only,real_multi,destroy,7,50.0833333333333
dynamic_only,real_multi,destroy,8,41.4333333333333
dynamic_only,real_multi,destroy,9,0
dynamic_only,real_multi,repair,1,91.3
dynamic_only,real_multi,repair,2,82.7833333333333
dynamic_only,real_multi,repair,3,87.25
dynamic_only,real_multi,repair,4,0
dynamic_only,real_multi,repair,5,76.4166666666667
dynamic_only,real_multi,repair,6,67.3333333333333
dynamic_only,real_multi,repair,7,0
dynamic_only,real_multi,local_search,1,17.0833333333333
dynamic_plus_repair,real_single,destroy,1,71.8166666666667
dynamic_plus_repair,real_single,destroy,2,64.4
dynamic_plus_repair,real_single,destroy,3,65.5166666666667
dynamic_plus_repair,real_single,destroy,4,78.2333333333333
dynamic_plus_repair,real_single,destroy,5,77.4333333333333
dynamic_plus_repair,real_single,destroy,6,87.65
dynamic_plus_repair,real_single,destroy,7,60.7166666666667
dynamic_plus_repair,real_single,destroy,8,62.2
dynamic_plus_repair,real_single,destroy,9,0
dynamic_plus_repair,real_single,repair,1,28.7333333333333
dynamic_plus_repair,real_single,repair,2,30.7833333333333
dynamic_plus_repair,real_single,repair,3,31.5166666666667
dynamic_plus_repair,real_single,repair,4,415.283333333333
dynamic_plus_repair,real_single,repair,5,33.85
dynamic_plus_repair,real_single,repair,6,27.8
dynamic_plus_repair,real_single,repair,7,0
dynamic_plus_repair,real_single,local_search,1,21.9333333333333
dynamic_plus_repair,real_multi,destroy,1,73.9333333333333
