group,scenario,operator_type,operator_index,mean_calls
static_baseline,real_single,destroy,1,0.5
static_baseline,real_single,destroy,2,0
static_baseline,real_single,destroy,3,7.5
static_baseline,real_single,destroy,4,0
static_baseline,real_single,destroy,5,5
static_baseline,real_single,destroy,6,0
static_baseline,real_single,destroy,7,10
static_baseline,real_single,destroy,8,0
static_baseline,real_single,destroy,9,0
static_baseline,real_single,repair,1,1
static_baseline,real_single,repair,2,8.5
static_baseline,real_single,repair,3,0
static_baseline,real_single,repair,4,0
static_baseline,real_single,repair,5,7
static_baseline,real_single,repair,6,6.5
static_baseline,real_single,repair,7,0
static_baseline,real_single,local_search,1,0.5
static_baseline,real_multi,destroy,1,7
static_baseline,real_multi,destroy,2,0
static_baseline,real_multi,destroy,3,3.5
static_baseline,real_multi,destroy,4,4.5
static_baseline,real_multi,destroy,5,4.5
static_baseline,real_multi,destroy,6,0
static_baseline,real_multi,destroy,7,2.5
static_baseline,real_multi,destroy,8,6
static_baseline,real_multi,destroy,9,0
static_baseline,real_multi,repair,1,16
static_baseline,real_multi,repair,2,1
static_baseline,real_multi,repair,3,3
static_baseline,real_multi,repair,4,0
static_baseline,real_multi,repair,5,7.5
static_baseline,real_multi,repair,6,0.5
static_baseline,real_multi,repair,7,0
static_baseline,real_multi,local_search,1,2
dynamic_only,real_single,destroy,1,0
dynamic_only,real_single,destroy,2,6.5
dynamic_only,real_single,destroy,3,0
dynamic_only,real_single,destroy,4,0.5
dynamic_only,real_single,destroy,5,7.5
dynamic_only,real_single,destroy,6,66
dynamic_only,real_single,destroy,7,6.5
dynamic_only,real_single,destroy,8,6
dynamic_only,real_single,destroy,9,0
dynamic_only,real_single,repair,1,27.5
dynamic_only,real_single,repair,2,9.5
dynamic_only,real_single,repair,3,11.5
dynamic_only,real_single,repair,4,0
dynamic_only,real_single,repair,5,6
dynamic_only,real_single,repair,6,38.5
dynamic_only,real_single,repair,7,0
dynamic_only,real_single,local_search,1,0.5
dynamic_only,real_multi,destroy,1,3
dynamic_only,real_multi,destroy,2,0.5
dynamic_only,real_multi,destroy,3,4.5
dynamic_only,real_multi,destroy,4,1
dynamic_only,real_multi,destroy,5,2.5
dynamic_only,real_multi,destroy,6,26.5
dynamic_only,real_multi,destroy,7,12
dynamic_only,real_multi,destroy,8,0
dynamic_only,real_multi,destroy,9,0
dynamic_only,real_multi,repair,1,12.5
dynamic_only,real_multi,repair,2,18
dynamic_only,real_multi,repair,3,2
dynamic_only,real_multi,repair,4,0
dynamic_only,real_multi,repair,5,7
dynamic_only,real_multi,repair,6,10.5
dynamic_only,real_multi,repair,7,0
dynamic_only,real_multi,local_search,1,1
dynamic_plus_repair,real_single,destroy,1,0.5
dynamic_plus_repair,real_single,destroy,2,0
dynamic_plus_repair,real_single,destroy,3,0.5
dynamic_plus_repair,real_single,destroy,4,6.5
dynamic_plus_repair,real_single,destroy,5,2.5
dynamic_plus_repair,real_single,destroy,6,0
dynamic_plus_repair,real_single,destroy,7,5
dynamic_plus_repair,real_single,destroy,8,23.5
dynamic_plus_repair,real_single,destroy,9,0
dynamic_plus_repair,real_single,repair,1,0.5
dynamic_plus_repair,real_single,repair,2,11
dynamic_plus_repair,real_single,repair,3,3.5
dynamic_plus_repair,real_single,repair,4,14
dynamic_plus_repair,real_single,repair,5,6
dynamic_plus_repair,real_single,repair,6,3.5
dynamic_plus_repair,real_single,repair,7,0
dynamic_plus_repair,real_single,local_search,1,1.5
dynamic_plus_repair,real_multi,destroy,1,0
dynamic_plus_repair,real_multi,destroy,2,0
dynamic_plus_repair,real_multi,destroy,3,30.5
dynamic_plus_repair,real_multi,destroy,4,15
dynamic_plus_repair,real_multi,destroy,5,1
dynamic_plus_repair,real_multi,destroy,6,6
dynamic_plus_repair,real_multi,destroy,7,16
dynamic_plus_repair,real_multi,destroy,8,0.5
dynamic_plus_repair,real_multi,destroy,9,0
dynamic_plus_repair,real_multi,repair,1,2.5
dynamic_plus_repair,real_multi,repair,2,5.5
dynamic_plus_repair,real_multi,repair,3,8.5
dynamic_plus_repair,real_multi,repair,4,39
dynamic_plus_repair,real_multi,repair,5,0.5
dynamic_plus_repair,real_multi,repair,6,13
dynamic_plus_repair,real_multi,repair,7,0
dynamic_plus_repair,real_multi,local_search,1,2.5
dynamic_full_baseline,real_single,destroy,1,0
dynamic_full_baseline,real_single,destroy,2,2
dynamic_full_baseline,real_single,destroy,3,2.5
dynamic_full_baseline,real_single,destroy,4,13
dynamic_full_baseline,real_single,destroy,5,2
dynamic_full_baseline,real_single,destroy,6,8.5
dynamic_full_baseline,real_single,destroy,7,0.5
dynamic_full_baseline,real_single,destroy,8,4
dynamic_full_baseline,real_single,destroy,9,44
dynamic_full_baseline,real_single,repair,1,1
dynamic_full_baseline,real_single,repair,2,1
dynamic_full_baseline,real_single,repair,3,1
dynamic_full_baseline,real_single,repair,4,36.5
dynamic_full_baseline,real_single,repair,5,4.5
dynamic_full_baseline,real_single,repair,6,6
dynamic_full_baseline,real_single,repair,7,26.5
dynamic_full_baseline,real_single,local_search,1,3.5
dynamic_full_baseline,real_multi,destroy,1,5.5
dynamic_full_baseline,real_multi,destroy,2,1.5
dynamic_full_baseline,real_multi,destroy,3,2
dynamic_full_baseline,real_multi,destroy,4,0
dynamic_full_baseline,real_multi,destroy,5,10
dynamic_full_baseline,real_multi,destroy,6,0
dynamic_full_baseline,real_multi,destroy,7,1
dynamic_full_baseline,real_multi,destroy,8,7
dynamic_full_baseline,real_multi,destroy,9,27
dynamic_full_baseline,real_multi,repair,1,1.5
dynamic_full_baseline,real_multi,repair,2,6.5
dynamic_full_baseline,real_multi,repair,3,1
dynamic_full_baseline,real_multi,repair,4,22.5
dynamic_full_baseline,real_multi,repair,5,1
dynamic_full_baseline,real_multi,repair,6,2
dynamic_full_baseline,real_multi,repair,7,19.5
dynamic_full_baseline,real_multi,local_search,1,0.5
no_adaptive,real_single,destroy,1,3
no_adaptive,real_single,destroy,2,6
no_adaptive,real_single,destroy,3,6.5
no_adaptive,real_single,destroy,4,4
no_adaptive,real_single,destroy,5,6.5
no_adaptive,real_single,destroy,6,5.5
no_adaptive,real_single,destroy,7,4.5
no_adaptive,real_single,destroy,8,4.5
no_adaptive,real_single,destroy,9,4.5
no_adaptive,real_single,repair,1,5.5
no_adaptive,real_single,repair,2,6
no_adaptive,real_single,repair,3,7.5
no_adaptive,real_single,repair,4,11
no_adaptive,real_single,repair,5,7
no_adaptive,real_single,repair,6,3.5
no_adaptive,real_single,repair,7,4.5
no_adaptive,real_single,local_search,1,0.5
no_adaptive,real_multi,destroy,1,5
no_adaptive,real_multi,destroy,2,6
no_adaptive,real_multi,destroy,3,5
no_adaptive,real_multi,destroy,4,11
no_adaptive,real_multi,destroy,5,9.5
no_adaptive,real_multi,destroy,6,7.5
no_adaptive,real_multi,destroy,7,6.5
no_adaptive,real_multi,destroy,8,5
no_adaptive,real_multi,destroy,9,7
no_adaptive,real_multi,repair,1,11
no_adaptive,real_multi,repair,2,8
no_adaptive,real_multi,repair,3,9
no_adaptive,real_multi,repair,4,8.5
no_adaptive,real_multi,repair,5,5.5
no_adaptive,real_multi,repair,6,9.5
no_adaptive,real_multi,repair,7,11
no_adaptive,real_multi,local_search,1,1.5
