group,scenario,fitness_mean,fitness_std,fitness_best,fitness_median,time_mean,report_cost_3_mean,report_cost_3_std,distance_mean,thermal_risk_mean,invalid_cnt_mean
static_baseline,real_single,766.882233469439,421.694473026452,191.813619778656,728.547716993994,8.41023991666667,4906.32099951965,2879.97970884341,766.882233469439,351.377532100427,0
static_baseline,real_multi,686.777963742045,377.368505938364,191.813619778656,628.846853447144,7.82852656666667,4982.80668131322,3124.07885708355,686.777963742045,314.557435142353,0
dynamic_only,real_single,5295.35434778613,3029.72256762911,1809.0816746266,4404.82395642797,10.5718999333333,5295.35434778613,3029.72256762911,804.532340326964,371.644014918325,0
dynamic_only,real_multi,4934.10950768558,2745.56638044598,1809.0816746266,4281.4252906023,13.7756086666667,4934.10950768558,2745.56638044598,711.503326849266,325.212361672625,0
dynamic_plus_repair,real_single,5062.30025890412,2837.42291055234,1809.0816746266,4387.27473523018,8.12490133333333,5062.30025890412,2837.42291055234,772.348851740186,354.902814327875,0
dynamic_plus_repair,real_multi,4878.55968316324,2798.28328982185,1809.0816746266,4181.90484941427,9.58986936666667,4878.55968316324,2798.28328982185,680.377893029474,311.363580267537,0
dynamic_full_baseline,real_single,5058.72226181106,2863.40735445168,1809.0816746266,4390.29678452147,21.4428307166667,5058.72226181106,2863.40735445168,769.507745824111,353.429031973893,0
dynamic_full_baseline,real_multi,4861.04652568404,2747.06636119195,1809.0816746266,4199.9083305161,19.3080515166667,4861.04652568404,2747.06636119195,687.462882667659,314.667286032756,0
no_adaptive,real_single,4966.40934734547,2804.68157743492,1809.0816746266,4391.60034989682,9.8570602,4966.40934734547,2804.68157743492,758.359861786701,348.59897111755,0
no_adaptive,real_multi,4828.00257818409,2738.29226668828,1809.0816746266,4190.12401866922,13.1328437333333,4828.00257818409,2738.29226668828,675.033734368668,308.437687630846,0
