instance,variant,rep,fitness,runtime_sec
C101_25.txt,v1_rule_based,1,1809.8302,3.2384
C101_25.txt,v1_rule_based,2,1809.8302,2.8810
C101_25.txt,v1_rule_based,3,1809.8302,2.8265
C101_25.txt,v1_rule_based,4,1809.8302,3.8688
C101_25.txt,v1_rule_based,5,1876.0367,2.0159
C201_25.txt,v1_rule_based,1,1909.0793,1.6172
C201_25.txt,v1_rule_based,2,1909.0793,1.7799
C201_25.txt,v1_rule_based,3,1955.1668,4.7874
C201_25.txt,v1_rule_based,4,1913.6919,7.1610
C201_25.txt,v1_rule_based,5,1909.0793,1.8977
R102_25.txt,v1_rule_based,1,4282.2574,2.6092
R102_25.txt,v1_rule_based,2,4285.2366,4.1590
R102_25.txt,v1_rule_based,3,4314.8218,1.6150
R102_25.txt,v1_rule_based,4,4282.2574,2.3396
R102_25.txt,v1_rule_based,5,4318.0692,2.2416
R202_25.txt,v1_rule_based,1,2066.5246,4.1054
R202_25.txt,v1_rule_based,2,2086.1592,1.4760
R202_25.txt,v1_rule_based,3,2095.7376,2.0476
R202_25.txt,v1_rule_based,4,2658.7669,2.3202
R202_25.txt,v1_rule_based,5,2568.0113,1.6638
C102_50.txt,v1_rule_based,1,3776.7080,2.6866
C102_50.txt,v1_rule_based,2,3015.3524,5.0131
C102_50.txt,v1_rule_based,3,3015.3524,3.8780
C102_50.txt,v1_rule_based,4,3016.9084,4.1680
C102_50.txt,v1_rule_based,5,3066.1244,11.4839
C202_50.txt,v1_rule_based,1,3778.9743,1.3946
C202_50.txt,v1_rule_based,2,3807.5842,3.2304
C202_50.txt,v1_rule_based,3,3275.8382,5.9649
C202_50.txt,v1_rule_based,4,3262.3294,4.6131
C202_50.txt,v1_rule_based,5,3800.4244,2.6446
R101_50.txt,v1_rule_based,1,8053.3412,9.7463
R101_50.txt,v1_rule_based,2,7546.2082,7.2797
R101_50.txt,v1_rule_based,3,8008.3732,7.1560
R101_50.txt,v1_rule_based,4,8108.1296,5.6618
R101_50.txt,v1_rule_based,5,7496.4847,19.8820
R201_50.txt,v1_rule_based,1,4070.9774,1.9482
R201_50.txt,v1_rule_based,2,4096.0444,4.1691
R201_50.txt,v1_rule_based,3,4155.5691,4.9250
R201_50.txt,v1_rule_based,4,4172.7397,3.7109
R201_50.txt,v1_rule_based,5,4065.7208,4.0580
C101_100.txt,v1_rule_based,1,6896.6582,16.2076
C101_100.txt,v1_rule_based,2,6133.7807,159.7159
C101_100.txt,v1_rule_based,3,6133.7807,163.6555
C101_100.txt,v1_rule_based,4,6133.7807,156.5922
C101_100.txt,v1_rule_based,5,6133.7807,154.7175
C201_100.txt,v1_rule_based,1,7003.3149,8.3650
