weight_field,baseline_value,multiplier,override_value,n_runs,mean_fitness,std_fitness,min_fitness,delta_pct_vs_baseline
route_open_penalty,525,0.5000,262.5,25,4864.8003,1410.9805,3015.3524,0.5809
route_open_penalty,525,0.7000,367.5,25,4836.7056,1372.6379,3015.3524,0.0000
route_open_penalty,525,0.8500,446.25,25,4836.7056,1372.6379,3015.3524,0.0000
route_open_penalty,525,1.0000,525,25,4836.7056,1372.6379,3015.3524,0.0000
route_open_penalty,525,1.1500,603.75,25,4836.7056,1372.6379,3015.3524,0.0000
route_open_penalty,525,1.3000,682.5,25,4836.7056,1372.6379,3015.3524,0.0000
route_open_penalty,525,1.5000,787.5,25,4836.7056,1372.6379,3015.3524,0.0000
range_margin_weight,0.42,0.5000,0.21,25,4809.8090,1359.8848,3015.3524,-0.5561
range_margin_weight,0.42,0.7000,0.294,25,4853.3480,1403.9591,3015.3524,0.3441
range_margin_weight,0.42,0.8500,0.357,25,4830.3763,1367.8127,3015.3524,-0.1309
range_margin_weight,0.42,1.0000,0.42,25,4836.7056,1372.6379,3015.3524,0.0000
range_margin_weight,0.42,1.1500,0.483,25,4834.7080,1373.7680,3015.3524,-0.0413
range_margin_weight,0.42,1.3000,0.546,25,4832.0402,1370.3501,3015.3524,-0.0965
range_margin_weight,0.42,1.5000,0.63,25,4830.8494,1371.9801,3015.3524,-0.1211
margin_ratio_weight,180,0.5000,90,25,4849.2356,1395.1064,3015.3524,0.2591
margin_ratio_weight,180,0.7000,126,25,4843.9861,1370.7326,3015.3524,0.1505
margin_ratio_weight,180,0.8500,153,25,4837.2112,1397.7617,3015.3524,0.0105
margin_ratio_weight,180,1.0000,180,25,4836.7056,1372.6379,3015.3524,0.0000
margin_ratio_weight,180,1.1500,207,25,4828.4401,1372.1217,3015.3524,-0.1709
margin_ratio_weight,180,1.3000,234,25,4765.7896,1301.8296,3015.3524,-1.4662
margin_ratio_weight,180,1.5000,270,25,4820.2945,1360.9701,3015.3524,-0.3393
time_slack_weight,0.05,0.5000,0.025,25,4817.0968,1360.1828,3015.3524,-0.4054
time_slack_weight,0.05,0.7000,0.035,25,4816.4870,1359.1385,3015.3524,-0.4180
time_slack_weight,0.05,0.8500,0.0425,25,4816.0633,1359.3725,3015.3524,-0.4268
time_slack_weight,0.05,1.0000,0.05,25,4836.7056,1372.6379,3015.3524,0.0000
time_slack_weight,0.05,1.1500,0.0575,25,4857.1817,1401.6180,3015.3524,0.4233
time_slack_weight,0.05,1.3000,0.065,25,4765.5220,1308.4839,3015.3524,-1.4717
time_slack_weight,0.05,1.5000,0.075,25,4814.2511,1348.5827,3015.3524,-0.4643
route_duration_weight,0.03,0.5000,0.015,25,4753.2692,1309.1452,3015.3524,-1.7251
route_duration_weight,0.03,0.7000,0.021,25,4850.3462,1396.3073,3015.3524,0.2820
route_duration_weight,0.03,0.8500,0.0255,25,4831.8716,1379.2277,3015.3524,-0.0999
route_duration_weight,0.03,1.0000,0.03,25,4836.7056,1372.6379,3015.3524,0.0000
route_duration_weight,0.03,1.1500,0.0345,25,4819.1344,1338.2945,3015.3524,-0.3633
route_duration_weight,0.03,1.3000,0.039,25,4796.4303,1307.2056,3015.3524,-0.8327
route_duration_weight,0.03,1.5000,0.045,25,4795.2942,1329.0014,3015.3524,-0.8562
risk_penalty_weight,10,0.5000,5,25,4788.1001,1338.9548,3015.3524,-1.0049
risk_penalty_weight,10,0.7000,7,25,4845.5760,1381.5659,3015.3524,0.1834
risk_penalty_weight,10,0.8500,8.5,25,4845.8262,1381.9688,3015.3524,0.1886
risk_penalty_weight,10,1.0000,10,25,4836.7056,1372.6379,3015.3524,0.0000
risk_penalty_weight,10,1.1500,11.5,25,4836.4759,1372.7366,3015.3524,-0.0047
risk_penalty_weight,10,1.3000,13,25,4838.5536,1372.1339,3015.3524,0.0382
risk_penalty_weight,10,1.5000,15,25,4838.5536,1372.1339,3015.3524,0.0382
risk_ratio_weight,40,0.5000,20,25,4868.6121,1413.2751,3015.3524,0.6597
risk_ratio_weight,40,0.7000,28,25,4868.6121,1413.2751,3015.3524,0.6597
risk_ratio_weight,40,0.8500,34,25,4868.6121,1413.2751,3015.3524,0.6597
risk_ratio_weight,40,1.0000,40,25,4836.7056,1372.6379,3015.3524,0.0000
risk_ratio_weight,40,1.1500,46,25,4845.8262,1381.9688,3015.3524,0.1886
risk_ratio_weight,40,1.3000,52,25,4836.7056,1372.6379,3015.3524,0.0000
risk_ratio_weight,40,1.5000,60,25,4836.7056,1372.6379,3015.3524,0.0000
platform_gain_weight,0.2,0.5000,0.1,25,4836.7056,1372.6379,3015.3524,0.0000
platform_gain_weight,0.2,0.7000,0.14,25,4836.7056,1372.6379,3015.3524,0.0000
platform_gain_weight,0.2,0.8500,0.17,25,4836.7056,1372.6379,3015.3524,0.0000
platform_gain_weight,0.2,1.0000,0.2,25,4836.7056,1372.6379,3015.3524,0.0000
platform_gain_weight,0.2,1.1500,0.23,25,4836.7056,1372.6379,3015.3524,0.0000
platform_gain_weight,0.2,1.3000,0.26,25,4836.7056,1372.6379,3015.3524,0.0000
platform_gain_weight,0.2,1.5000,0.3,25,4836.7056,1372.6379,3015.3524,0.0000
