block,model,date,platform,scale,n_inst,static_mean,static_sd,dyn_mean,dyn_sd,impr_pct,wins
A_M7_multiday,7,2024-01-03,Single,All,12,5138.999764604597,2799.418775421383,5113.87453341047,2851.8019176643966,0.48891286913807164,6/12
A_M7_multiday,7,2024-01-04,Single,All,12,4881.409692697029,2751.8740294317304,4850.695625204118,2795.852252826173,0.6292048696273372,9/12
A_M7_multiday,7,2024-01-03,Multi,All,12,5002.864013723639,2767.1166944385677,4986.389215361707,2723.579179804917,0.3293073390909455,8/12
A_M7_multiday,7,2024-01-04,Multi,All,12,4814.042005672425,2784.9361576974425,4718.099440287999,2749.425807070948,1.992973166236948,8/12
B_model_sensitivity_jan01,1,2024-01-01,Single,All,12,18776.631466448496,9958.955032323347,8238.425738021444,6689.115772525079,56.12404838033655,12/12
B_model_sensitivity_jan01,2,2024-01-01,Single,All,12,32462.043602402213,22289.26214333304,29871.01632820886,17436.72081212046,7.981713369399866,10/12
B_model_sensitivity_jan01,3,2024-01-01,Single,All,12,22194.3251372689,11679.155620975704,8479.812934979913,7300.76003313236,61.792877762520746,12/12
B_model_sensitivity_jan01,4,2024-01-01,Single,All,12,19479.30603263181,10577.767707439905,7875.128434224079,6307.573061238313,59.5718224199998,12/12
B_model_sensitivity_jan01,5,2024-01-01,Single,All,12,4792.246570790212,2775.803232475115,4759.03256735356,2779.2185906289,0.6930779321560516,7/12
B_model_sensitivity_jan01,6,2024-01-01,Single,All,12,4791.503169122084,2778.7449679028073,4782.581478286284,2852.705468394825,0.18619816205681536,9/12
B_model_sensitivity_jan01,8,2024-01-01,Single,All,12,5195.635269998286,2826.280934420079,4952.335546837847,2769.6924076086652,4.682771413254336,11/12
B_model_sensitivity_jan01,1,2024-01-01,Multi,All,12,12931.537882966126,6485.5835717003865,6332.83311050928,4834.130953557597,51.02799707333256,12/12
B_model_sensitivity_jan01,2,2024-01-01,Multi,All,12,32552.579206631177,16997.63254081946,24516.6986672521,14102.238598615497,24.685848971813922,11/12
B_model_sensitivity_jan01,3,2024-01-01,Multi,All,12,16289.200405113565,8236.376337698202,6699.555364828226,4914.978720918498,58.87118337174441,12/12
B_model_sensitivity_jan01,4,2024-01-01,Multi,All,12,13568.161374349693,7000.679176955341,6284.148977754822,4372.0490670500385,53.68459436490145,12/12
B_model_sensitivity_jan01,5,2024-01-01,Multi,All,12,4714.216004399471,2782.7502300312526,4720.233844540021,2742.2128975544865,-0.1276530420951023,7/12
B_model_sensitivity_jan01,6,2024-01-01,Multi,All,12,4685.234781592048,2736.4896713077737,4672.770567599127,2755.767158576606,0.2660317908057038,7/12
B_model_sensitivity_jan01,8,2024-01-01,Multi,All,12,5019.830550186987,2824.016742831093,4880.363269638203,2836.4440026370385,2.7783264625055777,7/12
